Kind,Name,CountDeclClassMethod,MaxInheritanceTree,CountClassDerived,PercentLackOfCohesion,CountClassCoupled,CountDeclInstanceVariable,CountLineCode,CountDeclFile,CountDeclFunction,RatioCommentToCode,CountDeclMethodAll,SumCyclomatic
TypeVariable,rx.Observable.toSortedList.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.toSortedList.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.toSortedList.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.zip,,,,,,,3,,,8,,
Public Static Generic Method,rx.Observable.zip,,,,,,,11,,,2.18,,
Public Static Generic Method,rx.Observable.zip,,,,,,,3,,,9.33,,
Public Static Generic Method,rx.Observable.zip,,,,,,,11,,,2.55,,
Public Static Generic Method,rx.Observable.zip,,,,,,,3,,,9.67,,
Public Static Generic Method,rx.Observable.zip,,,,,,,11,,,2.64,,
Class,rx.Observable.zip.(Anon_22),0,0,0,0,4,0,6,,,0,13,1
Public Method,rx.Observable.zip.(Anon_22).call,,,,,,,3,,,0,,
Class,rx.Observable.zip.(Anon_23),0,0,0,0,4,0,6,,,0,13,1
Public Method,rx.Observable.zip.(Anon_23).call,,,,,,,3,,,0,,
Class,rx.Observable.zip.(Anon_24),0,0,0,0,4,0,6,,,0,13,1
Public Method,rx.Observable.zip.(Anon_24).call,,,,,,,3,,,0,,
TypeVariable,rx.Observable.zip.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T0,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T0,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T0,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T0,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T0,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T0,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T1,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T1,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T1,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T1,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T1,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T1,0,0,0,0,0,0,0,,,0,0,0
